order_item_id,order_id,product_id,quantity,unit_price,discount
1,1,72,1,111.1,0.1
2,1,10,2,783.62,0.15
3,1,74,2,179.47,0.15
4,2,69,1,114.57,0.0
5,3,38,3,53.59,0.1
6,4,51,2,53.62,0.05
7,4,106,3,342.73,0.05
8,4,85,1,122.17,0.15
9,4,4,3,1016.95,0.1
10,5,71,3,69.64,0.05
11,6,69,1,114.57,0.1
12,6,71,1,69.64,0.15
13,6,11,3,863.36,0.05
14,6,40,1,52.28,0.05
15,7,24,3,1445.96,0.0
16,8,33,1,96.96,0.05
17,9,13,3,1416.4,0.0
18,9,37,1,36.6,0.1
19,10,89,3,55.64,0.1
20,10,75,2,181.68,0.15
21,10,20,1,1272.89,0.0
22,11,36,3,67.29,0.1
23,11,108,2,285.82,0.15
24,11,47,2,31.94,0.1
25,11,18,2,813.45,0.15
26,12,110,3,31.39,0.05
27,12,106,2,342.73,0.0
28,12,18,3,813.45,0.0
29,13,99,1,181.09,0.1
30,13,76,3,115.79,0.15
31,13,28,3,89.14,0.05
32,13,117,2,75.36,0.15
33,14,18,3,813.45,0.0
34,14,60,2,31.57,0.1
35,14,65,3,94.35,0.0
36,15,97,1,308.18,0.15
37,15,66,1,106.71,0.05
38,16,6,2,1247.26,0.05
39,16,29,1,144.47,0.1
40,16,98,2,406.86,0.05
41,17,50,2,52.38,0.0
42,17,61,1,73.16,0.1
43,17,118,1,70.37,0.1
44,18,84,3,189.75,0.0
45,18,49,3,53.79,0.1
46,18,47,2,31.94,0.05
47,18,76,3,115.79,0.15
48,19,114,1,46.87,0.15
49,19,78,1,198.38,0.05
50,19,1,1,1061.42,0.1
51,19,65,1,94.35,0.05
52,20,85,1,122.17,0.15
53,21,62,3,99.59,0.15
54,21,27,1,116.94,0.05
55,21,76,1,115.79,0.05
56,21,21,3,1122.92,0.05
57,22,8,2,1131.13,0.05
58,22,22,3,845.9,0.15
59,23,11,3,863.36,0.15
60,23,28,2,89.14,0.05
61,23,58,1,44.05,0.15
62,24,22,2,845.9,0.15
63,24,93,3,73.99,0.0
64,24,88,1,109.47,0.15
65,25,106,1,342.73,0.15
66,25,20,3,1272.89,0.0
67,25,78,3,198.38,0.0
68,25,13,1,1416.4,0.15
69,26,67,1,48.23,0.15
70,26,54,1,20.73,0.15
71,26,48,2,56.46,0.1
72,26,112,3,66.68,0.0
73,27,117,1,75.36,0.1
74,27,110,3,31.39,0.15
75,28,74,3,179.47,0.0
76,29,53,1,55.82,0.15
77,29,47,3,31.94,0.1
78,29,14,2,929.55,0.15
79,30,97,3,308.18,0.15
80,30,27,1,116.94,0.1
81,30,53,3,55.82,0.15
82,30,71,2,69.64,0.1
83,31,96,1,124.74,0.15
84,32,103,3,299.32,0.0
85,32,71,1,69.64,0.15
86,32,79,3,243.88,0.0
87,33,12,2,876.42,0.0
88,33,9,3,1017.39,0.0
89,33,34,3,125.09,0.15
90,33,29,2,144.47,0.1
91,34,2,3,1276.88,0.1
92,34,26,1,114.37,0.0
93,34,109,3,67.25,0.05
94,34,85,3,122.17,0.05
95,35,12,2,876.42,0.1
96,35,36,3,67.29,0.15
97,36,118,1,70.37,0.1
98,37,59,2,28.01,0.0
99,37,120,2,64.19,0.05
100,38,44,3,59.87,0.1
101,38,15,3,1466.49,0.1
102,38,103,3,299.32,0.15
103,39,100,2,240.04,0.0
104,39,59,2,28.01,0.0
105,39,88,2,109.47,0.0
106,40,103,2,299.32,0.1
107,40,41,3,45.79,0.0
108,41,10,1,783.62,0.15
109,41,71,2,69.64,0.1
110,41,120,1,64.19,0.1
111,42,64,1,93.19,0.05
112,42,95,3,67.35,0.05
113,43,108,2,285.82,0.05
114,43,80,1,81.78,0.0
115,44,98,3,406.86,0.0
116,45,63,3,82.03,0.1
117,45,24,2,1445.96,0.05
118,45,98,3,406.86,0.05
119,46,65,2,94.35,0.15
120,47,41,1,45.79,0.15
121,47,89,3,55.64,0.0
122,47,2,2,1276.88,0.1
