order_id,customer_id,order_date,order_status
1,76,2025-06-29,Completed
2,324,2024-06-12,Completed
3,718,2026-01-18,Completed
4,289,2026-06-27,Cancelled
5,306,2026-08-02,Completed
6,43,2024-10-03,Completed
7,632,2026-08-16,Completed
8,661,2025-11-04,Completed
9,975,2025-05-31,Completed
10,462,2025-01-17,Completed
11,253,2025-04-08,Completed
12,180,2026-04-05,Completed
13,870,2026-01-29,Completed
14,913,2026-07-14,Completed
15,869,2026-08-01,Returned
16,754,2026-03-21,Completed
17,685,2025-12-07,Completed
18,593,2026-01-27,Completed
19,837,2025-05-19,Completed
20,162,2026-04-15,Completed
21,738,2024-09-13,Completed
22,645,2025-06-14,Completed
23,900,2026-03-04,Completed
24,814,2026-03-03,Completed
25,136,2025-06-20,Completed
26,924,2026-08-10,Pending
27,138,2025-09-10,Completed
28,194,2025-09-18,Completed
29,385,2026-03-18,Completed
30,627,2025-01-04,Returned
31,793,2025-11-05,Completed
32,103,2025-12-04,Completed
33,844,2025-10-17,Completed
34,969,2025-01-26,Completed
35,369,2026-03-05,Completed
36,601,2025-09-11,Completed
37,356,2026-02-26,Completed
38,519,2025-06-09,Completed
39,577,2025-12-22,Completed
40,649,2025-02-10,Completed
41,255,2026-04-20,Completed
42,970,2026-02-05,Completed
43,212,2026-02-06,Completed
44,693,2026-04-02,Completed
45,381,2026-01-12,Completed
46,539,2026-03-20,Completed
47,469,2025-04-21,Completed
48,562,2025-03-03,Completed
49,462,2024-08-18,Completed
50,201,2025-08-07,Completed
51,915,2026-08-04,Completed
52,221,2025-04-13,Completed
53,370,2026-02-19,Completed
54,364,2026-03-18,Completed
55,647,2026-08-16,Completed
56,322,2024-12-19,Completed
57,875,2024-04-20,Completed
58,106,2024-12-23,Completed
59,235,2025-03-22,Completed
60,139,2026-08-09,Completed
61,453,2026-05-03,Completed
62,970,2026-02-14,Completed
63,816,2025-04-08,Completed
64,733,2026-07-26,Completed
65,187,2024-11-23,Completed
66,996,2025-05-31,Completed
67,16,2026-06-13,Completed
68,795,2025-04-22,Completed
69,756,2024-04-28,Completed
70,399,2026-04-30,Returned
71,370,2025-09-14,Cancelled
72,814,2026-04-20,Completed
73,94,2025-12-28,Completed
74,129,2026-01-22,Completed
75,921,2025-11-06,Completed
76,889,2026-06-24,Cancelled
77,465,2025-12-02,Completed
78,537,2026-04-05,Completed
79,99,2025-07-13,Completed
80,207,2025-10-28,Completed
81,539,2025-09-30,Completed
82,480,2026-07-27,Completed
83,984,2025-09-29,Completed
84,572,2026-07-15,Completed
85,720,2026-05-18,Cancelled
86,547,2025-12-08,Completed
87,577,2026-01-23,Completed
88,7,2024-11-09,Returned
89,39,2025-08-08,Completed
90,95,2026-06-08,Completed
91,846,2026-08-26,Completed
92,749,2026-08-06,Completed
93,427,2025-04-27,Cancelled
94,313,2025-09-15,Completed
95,995,2025-05-22,Completed
96,152,2025-01-14,Completed
97,493,2026-06-12,Completed
98,688,2025-10-29,Completed
99,452,2025-11-10,Cancelled
100,758,2024-08-02,Completed
101,461,2026-03-29,Completed
102,638,2026-08-16,Returned
103,175,2025-12-10,Completed
104,20,2025-11-18,Cancelled
105,41,2024-12-06,Cancelled
106,641,2026-01-24,Completed
107,919,2026-02-14,Completed
108,247,2026-01-26,Completed
109,317,2026-08-24,Completed
110,189,2025-02-04,Pending
111,764,2026-04-02,Cancelled
112,611,2025-10-14,Completed
113,515,2026-07-28,Completed
114,419,2025-01-26,Cancelled
115,909,2025-06-27,Completed
116,404,2025-04-23,Completed
117,299,2025-05-30,Completed
118,475,2026-05-05,Completed
119,424,2025-10-21,Completed
120,332,2025-06-04,Completed
121,88,2025-10-12,Completed
122,167,2025-05-07,Completed
123,296,2025-10-18,Completed
