payment_id,order_id,payment_date,payment_amount,payment_method,payment_status
1,1,2025-06-29,1737.24,Net Banking,Success
2,2,2024-06-12,114.57,Credit Card,Success
3,3,2026-01-18,144.69,Credit Card,Success
4,4,2026-06-27,3928.27,UPI,Failed
5,5,2026-08-02,198.47,Credit Card,Success
6,6,2024-10-03,2672.55,UPI,Success
7,7,2026-08-16,4337.88,Net Banking,Success
8,8,2025-11-04,92.11,Net Banking,Success
9,9,2025-05-31,4282.14,Net Banking,Success
10,10,2025-01-17,1731.97,Debit Card,Success
11,11,2025-04-08,2107.93,Credit Card,Success
12,12,2026-04-05,3215.27,Credit Card,Success
13,13,2026-01-29,840.41,UPI,Success
14,14,2026-07-14,2780.23,UPI,Success
15,15,2026-08-01,363.33,UPI,Refunded
16,16,2026-03-21,3272.85,Credit Card,Success
17,17,2025-12-07,233.94,Debit Card,Success
18,18,2026-01-27,1070.43,Debit Card,Success
19,19,2025-05-19,1273.21,UPI,Success
20,20,2026-04-15,103.84,Debit Card,Success
21,21,2024-09-13,3675.37,UPI,Success
22,22,2025-06-14,4306.19,Credit Card,Success
23,23,2026-03-04,2408.38,UPI,Success
24,24,2026-03-03,1753.05,Net Banking,Success
25,25,2025-06-20,5909.07,UPI,Success
26,26,2026-08-10,360.28,Net Banking,Success
27,27,2025-09-10,147.87,Debit Card,Success
28,28,2025-09-18,538.41,Credit Card,Success
29,29,2026-03-18,1713.92,Debit Card,Success
30,30,2025-01-04,1158.8,Debit Card,Refunded
31,31,2025-11-05,106.03,UPI,Success
32,32,2025-12-04,1688.79,Credit Card,Success
33,33,2025-10-17,5384.04,Credit Card,Success
34,34,2025-01-26,4101.79,Credit Card,Success
35,35,2026-03-05,1749.15,Net Banking,Success
36,36,2025-09-11,63.33,Debit Card,Success
37,37,2026-02-26,177.98,Net Banking,Success
38,38,2025-06-09,4884.44,Net Banking,Success
39,39,2025-12-22,755.04,Net Banking,Success
40,40,2025-02-10,676.15,Debit Card,Success
41,41,2026-04-20,849.2,UPI,Success
42,42,2026-02-05,280.48,Debit Card,Success
43,43,2026-02-06,624.84,Credit Card,Success
44,44,2026-04-02,1220.58,Net Banking,Success
45,45,2026-01-12,4128.36,Credit Card,Success
46,46,2026-03-20,160.39,UPI,Success
