product_id,product_name,category,sub_category,brand,cost_price,selling_price
1,Apple Smartphones 1,Electronics,Smartphones,Apple,619.64,1061.42
2,Apple Smartphones 2,Electronics,Smartphones,Apple,716.71,1276.88
3,Apple Smartphones 3,Electronics,Smartphones,Apple,655.02,1143.05
4,Apple Smartphones 4,Electronics,Smartphones,Apple,624.93,1016.95
5,Apple Smartphones 5,Electronics,Smartphones,Apple,582.48,856.49
6,Apple Smartphones 6,Electronics,Smartphones,Apple,730.12,1247.26
7,Apple Smartphones 7,Electronics,Smartphones,Apple,737.73,1081.5
8,Apple Smartphones 8,Electronics,Smartphones,Apple,706.97,1131.13
9,Apple Smartphones 9,Electronics,Smartphones,Apple,686.66,1017.39
10,Apple Smartphones 10,Electronics,Smartphones,Apple,581.01,783.62
11,Apple Smartphones 11,Electronics,Smartphones,Apple,663.56,863.36
12,Apple Smartphones 12,Electronics,Smartphones,Apple,542.06,876.42
13,Dell Laptops 1,Electronics,Laptops,Dell,899.96,1416.4
14,Dell Laptops 2,Electronics,Laptops,Dell,686.95,929.55
15,Dell Laptops 3,Electronics,Laptops,Dell,948.44,1466.49
16,Dell Laptops 4,Electronics,Laptops,Dell,910.92,1522.38
17,Dell Laptops 5,Electronics,Laptops,Dell,704.61,1005.58
18,Dell Laptops 6,Electronics,Laptops,Dell,597.96,813.45
19,Dell Laptops 7,Electronics,Laptops,Dell,926.1,1303.76
20,Dell Laptops 8,Electronics,Laptops,Dell,912.28,1272.89
21,Dell Laptops 9,Electronics,Laptops,Dell,668.97,1122.92
22,Dell Laptops 10,Electronics,Laptops,Dell,523.25,845.9
23,Dell Laptops 11,Electronics,Laptops,Dell,836.07,1138.4
24,Dell Laptops 12,Electronics,Laptops,Dell,945.88,1445.96
25,Sony Audio 1,Electronics,Audio,Sony,65.36,101.45
26,Sony Audio 2,Electronics,Audio,Sony,87.83,114.37
27,Sony Audio 3,Electronics,Audio,Sony,74.17,116.94
28,Sony Audio 4,Electronics,Audio,Sony,55.97,89.14
29,Sony Audio 5,Electronics,Audio,Sony,85.46,144.47
30,Sony Audio 6,Electronics,Audio,Sony,84.61,139.26
31,Sony Audio 7,Electronics,Audio,Sony,40.42,69.02
32,Sony Audio 8,Electronics,Audio,Sony,36.21,58.98
33,Sony Audio 9,Electronics,Audio,Sony,66.37,96.96
34,Sony Audio 10,Electronics,Audio,Sony,82.88,125.09
35,Sony Audio 11,Electronics,Audio,Sony,66.54,109.54
36,Sony Audio 12,Electronics,Audio,Sony,44.89,67.29
37,Logitech Accessories 1,Electronics,Accessories,Logitech,25.29,36.6
38,Logitech Accessories 2,Electronics,Accessories,Logitech,39.14,53.59
39,Logitech Accessories 3,Electronics,Accessories,Logitech,33.08,57.67
40,Logitech Accessories 4,Electronics,Accessories,Logitech,30.37,52.28
41,Logitech Accessories 5,Electronics,Accessories,Logitech,31.43,45.79
42,Logitech Accessories 6,Electronics,Accessories,Logitech,37.1,58.5
43,Logitech Accessories 7,Electronics,Accessories,Logitech,21.52,30.23
44,Logitech Accessories 8,Electronics,Accessories,Logitech,36.43,59.87
45,Logitech Accessories 9,Electronics,Accessories,Logitech,42.64,58.26
46,Logitech Accessories 10,Electronics,Accessories,Logitech,36.31,64.91
47,Logitech Accessories 11,Electronics,Accessories,Logitech,20.33,31.94
48,Logitech Accessories 12,Electronics,Accessories,Logitech,34.11,56.46
49,Nike Apparel 1,Fashion,Apparel,Nike,34.02,53.79
