customer_id,customer_name,acquisition_channel,recency_days,frequency,monetary_value
529,Customer_529,Email,-512,10,27467.31
116,Customer_116,Email,-506,9,24781.08
660,Customer_660,"Social Media",-596,8,24193.36
601,Customer_601,"Social Media",-388,10,23771.22
107,Customer_107,"Social Media",-442,8,23761.23
55,Customer_55,"Organic Search",-605,9,23258.89
747,Customer_747,"Paid Ads",-556,9,23121.00
443,Customer_443,"Organic Search",-573,9,22807.22
391,Customer_391,"Social Media",-513,5,22458.24
29,Customer_29,"Paid Ads",-560,9,21981.40
702,Customer_702,Email,-602,7,21723.37
96,Customer_96,Referral,-526,7,21564.40
468,Customer_468,"Social Media",-573,11,21218.11
563,Customer_563,Email,-275,4,21189.63
84,Customer_84,"Organic Search",-535,9,20919.76
711,Customer_711,Email,-473,8,20744.04
674,Customer_674,Email,-517,7,20538.24
934,Customer_934,Referral,-475,11,20284.62
425,Customer_425,"Social Media",-594,11,20200.17
47,Customer_47,Email,-497,7,20104.76
623,Customer_623,Email,-530,8,20059.18
264,Customer_264,"Paid Ads",-575,10,19942.34
634,Customer_634,"Organic Search",-497,7,19679.17
481,Customer_481,"Paid Ads",-526,10,19323.89
304,Customer_304,"Organic Search",-521,6,19216.50
475,Customer_475,Referral,-571,7,18650.85
1000,Customer_1000,Email,-521,12,18550.78
581,Customer_581,Referral,-506,5,18396.97
701,Customer_701,Email,-600,10,18036.47
332,Customer_332,"Organic Search",-590,8,17826.86
440,Customer_440,"Paid Ads",-597,7,17695.88
465,Customer_465,"Social Media",-605,7,17541.98
476,Customer_476,Referral,-522,7,17452.68
666,Customer_666,"Social Media",-553,7,17451.04
595,Customer_595,Referral,-461,8,17445.56
857,Customer_857,"Social Media",-577,5,17348.36
454,Customer_454,Email,-433,6,17302.63
437,Customer_437,"Paid Ads",-598,7,17077.51
452,Customer_452,Referral,-439,6,16948.69
590,Customer_590,"Social Media",-565,8,16857.37
113,Customer_113,Referral,-604,7,16822.87
780,Customer_780,Email,-459,9,16802.57
233,Customer_233,"Social Media",-603,7,16781.55
769,Customer_769,"Social Media",-604,10,16768.41
345,Customer_345,"Paid Ads",-509,8,16740.60
411,Customer_411,"Paid Ads",-316,5,16705.18
54,Customer_54,Referral,-494,8,16666.72
225,Customer_225,"Organic Search",-601,5,16666.28
524,Customer_524,"Social Media",-457,9,16623.92
697,Customer_697,Referral,-446,5,16611.68
961,Customer_961,Email,-579,8,16550.05
274,Customer_274,Referral,-439,7,16527.88
863,Customer_863,"Social Media",-579,9,16435.60
829,Customer_829,"Social Media",-549,7,16395.02
298,Customer_298,Email,-541,6,16370.43
463,Customer_463,Referral,-510,9,16353.72
915,Customer_915,Referral,-580,6,16182.74
776,Customer_776,"Paid Ads",-460,9,16072.87
930,Customer_930,"Social Media",-599,6,16019.75
794,Customer_794,"Social Media",-538,11,15922.82
632,Customer_632,"Organic Search",-592,7,15875.87
733,Customer_733,Email,-582,8,15812.24
158,Customer_158,Email,-574,9,15802.77
400,Customer_400,"Organic Search",-496,5,15719.97
694,Customer_694,"Social Media",-522,5,15719.15
313,Customer_313,Referral,-480,7,15631.93
153,Customer_153,Referral,-581,8,15607.77
270,Customer_270,"Social Media",-562,9,15548.49
171,Customer_171,Referral,-528,9,15538.60
791,Customer_791,"Organic Search",-605,6,15472.22
329,Customer_329,"Organic Search",-536,7,15421.88
763,Customer_763,"Social Media",-200,4,15420.29
389,Customer_389,"Paid Ads",-540,8,15367.03
305,Customer_305,"Organic Search",-603,7,15316.01
509,Customer_509,"Social Media",-548,6,15315.83
882,Customer_882,Referral,-538,9,15309.97
725,Customer_725,"Organic Search",-602,8,15276.30
462,Customer_462,"Paid Ads",-554,8,15251.84
724,Customer_724,"Organic Search",-517,4,15235.45
668,Customer_668,"Paid Ads",-560,4,15208.60
426,Customer_426,"Paid Ads",-600,5,15169.00
230,Customer_230,Referral,-435,6,15111.32
503,Customer_503,Referral,-532,11,15099.26
609,Customer_609,"Paid Ads",-281,6,15066.24
383,Customer_383,"Social Media",-571,7,14944.62
282,Customer_282,Referral,-586,5,14807.31
395,Customer_395,"Paid Ads",-500,10,14774.04
299,Customer_299,Referral,-485,12,14769.05
580,Customer_580,"Organic Search",-587,8,14712.17
413,Customer_413,"Organic Search",-602,4,14528.39
768,Customer_768,Email,-465,6,14514.61
275,Customer_275,Email,-570,5,14480.39
361,Customer_361,Email,-594,6,14424.68
504,Customer_504,Referral,-396,7,14403.99
809,Customer_809,"Organic Search",-345,7,14392.25
248,Customer_248,"Social Media",-579,6,14285.87
15,Customer_15,"Paid Ads",-527,9,14269.44
872,Customer_872,"Organic Search",-451,7,14234.84
341,Customer_341,Email,-511,8,14174.25
956,Customer_956,"Organic Search",-590,7,14166.05
730,Customer_730,"Social Media",-260,4,14056.34
720,Customer_720,"Organic Search",-568,5,13974.48
644,Customer_644,"Paid Ads",-512,10,13896.08
417,Customer_417,"Social Media",-536,5,13810.81
315,Customer_315,"Organic Search",-585,6,13771.04
326,Customer_326,Referral,-458,7,13757.73
103,Customer_103,"Organic Search",-594,9,13752.10
364,Customer_364,Referral,-547,6,13723.98
353,Customer_353,Referral,-545,7,13713.96
782,Customer_782,"Paid Ads",-582,11,13709.52
816,Customer_816,"Organic Search",-574,8,13684.99
871,Customer_871,Referral,-518,7,13682.68
322,Customer_322,"Social Media",-51,5,13551.31
307,Customer_307,"Organic Search",-603,6,13502.72
95,Customer_95,"Social Media",-525,6,13483.49
615,Customer_615,"Social Media",-542,6,13475.42
407,Customer_407,"Organic Search",-489,7,13424.16
355,Customer_355,Referral,-444,4,13420.57
681,Customer_681,"Social Media",-604,6,13409.08
370,Customer_370,"Social Media",-527,9,13400.95
380,Customer_380,Referral,-600,4,13391.86
37,Customer_37,"Paid Ads",-515,7,13362.49
272,Customer_272,Email,-589,4,13350.57
792,Customer_792,"Paid Ads",-573,7,13346.74
647,Customer_647,"Social Media",-592,6,13337.88
