sales_month,monthly_revenue,cumulative_revenue
2024-01,2866.06,2866.06
2024-02,18436.88,21302.94
2024-03,12142.44,33445.38
2024-04,52068.01,85513.39
2024-05,37880.96,123394.35
2024-06,34641.41,158035.76
2024-07,60471.49,218507.25
2024-08,101418.39,319925.64
2024-09,92515.19,412440.83
2024-10,129323.21,541764.04
2024-11,100109.64,641873.68
2024-12,116321.21,758194.89
2025-01,175530.22,933725.11
2025-02,177883.95,1111609.06
2025-03,214745.52,1326354.58
2025-04,224157.12,1550511.70
2025-05,204918.65,1755430.35
2025-06,224032.51,1979462.86
2025-07,318755.22,2298218.08
2025-08,257799.26,2556017.34
2025-09,299472.79,2855490.13
2025-10,417033.14,3272523.27
2025-11,416729.29,3689252.56
2025-12,395245.46,4084498.02
2026-01,413834.75,4498332.77
2026-02,438451.88,4936784.65
2026-03,521698.76,5458483.41
2026-04,567463.76,6025947.17
2026-05,448675.95,6474623.12
2026-06,511254.82,6985877.94
2026-07,402321.10,7388199.04
2026-08,415666.94,7803865.98
