sales_month,total_orders,current_month_revenue,previous_month_revenue,mom_revenue_change,mom_growth_percentage
2024-01,2,2866.06,NULL,NULL,NULL
2024-02,7,18436.88,2866.06,15570.82,543.28
2024-03,14,12142.44,18436.88,-6294.44,-34.14
2024-04,26,52068.01,12142.44,39925.57,328.81
2024-05,30,37880.96,52068.01,-14187.05,-27.25
2024-06,33,34641.41,37880.96,-3239.55,-8.55
2024-07,48,60471.49,34641.41,25830.08,74.56
2024-08,58,101418.39,60471.49,40946.90,67.71
2024-09,56,92515.19,101418.39,-8903.20,-8.78
2024-10,75,129323.21,92515.19,36808.02,39.79
2024-11,73,100109.64,129323.21,-29213.57,-22.59
2024-12,81,116321.21,100109.64,16211.57,16.19
2025-01,118,175530.22,116321.21,59209.01,50.90
2025-02,102,177883.95,175530.22,2353.73,1.34
2025-03,137,214745.52,177883.95,36861.57,20.72
2025-04,129,224157.12,214745.52,9411.60,4.38
2025-05,138,204918.65,224157.12,-19238.47,-8.58
2025-06,135,224032.51,204918.65,19113.86,9.33
2025-07,190,318755.22,224032.51,94722.71,42.28
2025-08,178,257799.26,318755.22,-60955.96,-19.12
2025-09,199,299472.79,257799.26,41673.53,16.17
2025-10,246,417033.14,299472.79,117560.35,39.26
2025-11,270,416729.29,417033.14,-303.85,-0.07
2025-12,274,395245.46,416729.29,-21483.83,-5.16
2026-01,289,413834.75,395245.46,18589.29,4.70
2026-02,259,438451.88,413834.75,24617.13,5.95
2026-03,334,521698.76,438451.88,83246.88,18.99
2026-04,319,567463.76,521698.76,45765.00,8.77
2026-05,286,448675.95,567463.76,-118787.81,-20.93
2026-06,327,511254.82,448675.95,62578.87,13.95
2026-07,264,402321.10,511254.82,-108933.72,-21.31
2026-08,303,415666.94,402321.10,13345.84,3.32
