sales_month,active_customers,total_orders,orders_per_active_customer
2024-01,2,2,1.00
2024-02,7,7,1.00
2024-03,13,14,1.08
2024-04,24,26,1.08
2024-05,28,30,1.07
2024-06,31,33,1.06
2024-07,43,48,1.12
2024-08,54,58,1.07
2024-09,53,56,1.06
2024-10,67,75,1.12
2024-11,68,73,1.07
2024-12,73,81,1.11
2025-01,108,118,1.09
2025-02,90,102,1.13
2025-03,119,137,1.15
2025-04,117,129,1.10
2025-05,123,138,1.12
2025-06,123,135,1.10
2025-07,166,190,1.14
2025-08,155,178,1.15
2025-09,179,199,1.11
2025-10,219,246,1.12
2025-11,220,270,1.23
2025-12,233,274,1.18
2026-01,253,289,1.14
2026-02,218,259,1.19
2026-03,274,334,1.22
2026-04,269,319,1.19
2026-05,236,286,1.21
2026-06,280,327,1.17
2026-07,218,264,1.21
2026-08,260,303,1.17
